Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Date
1,CUST001,Male,34,Beauty,3,50,150,24-11-2023
2,CUST002,Female,26,Clothing,2,500,1000,27-02-2023
3,CUST003,Male,50,Electronics,1,30,30,13-01-2023
4,CUST004,Male,37,Clothing,1,500,500,21-05-2023
5,CUST005,Male,30,Beauty,2,50,100,06-05-2023
6,CUST006,Female,45,Beauty,1,30,30,25-04-2023
7,CUST007,Male,46,Clothing,2,25,50,13-03-2023
8,CUST008,Male,30,Electronics,4,25,100,22-02-2023
9,CUST009,Male,63,Electronics,2,300,600,13-12-2023
10,CUST010,Female,52,Clothing,4,50,200,07-10-2023
11,CUST011,Male,23,Clothing,2,50,100,14-02-2023
12,CUST012,Male,35,Beauty,3,25,75,30-10-2023
13,CUST013,Male,22,Electronics,3,500,1500,05-08-2023
14,CUST014,Male,64,Clothing,4,30,120,17-01-2023
15,CUST015,Female,42,Electronics,4,500,2000,16-01-2023
16,CUST016,Male,19,Clothing,3,500,1500,17-02-2023
17,CUST017,Female,27,Clothing,4,25,100,22-04-2023
18,CUST018,Female,47,Electronics,2,25,50,30-04-2023
19,CUST019,Female,62,Clothing,2,25,50,16-09-2023
20,CUST020,Male,22,Clothing,3,300,900,05-11-2023
21,CUST021,Female,50,Beauty,1,500,500,14-01-2023
22,CUST022,Male,18,Clothing,2,50,100,15-10-2023
23,CUST023,Female,35,Clothing,4,30,120,12-04-2023
24,CUST024,Female,49,Clothing,1,300,300,29-11-2023
25,CUST025,Female,64,Beauty,1,50,50,26-12-2023
26,CUST026,Female,28,Electronics,2,500,1000,07-10-2023
27,CUST027,Female,38,Beauty,2,25,50,03-08-2023
28,CUST028,Female,43,Beauty,1,500,500,23-04-2023
29,CUST029,Female,42,Electronics,1,30,30,18-08-2023
30,CUST030,Female,39,Beauty,3,300,900,29-10-2023
31,CUST031,Male,44,Electronics,4,300,1200,23-05-2023
32,CUST032,Male,30,Beauty,3,30,90,04-01-2023
33,CUST033,Female,50,Electronics,2,50,100,23-03-2023
34,CUST034,Female,51,Clothing,3,50,150,24-12-2023
35,CUST035,Female,58,Beauty,3,300,900,05-08-2023
36,CUST036,Male,52,Beauty,3,300,900,24-06-2023
37,CUST037,Female,18,Beauty,3,25,75,23-05-2023
38,CUST038,Male,38,Beauty,4,50,200,21-03-2023
39,CUST039,Male,23,Clothing,4,30,120,21-04-2023
40,CUST040,Male,45,Beauty,1,50,50,22-06-2023
41,CUST041,Male,34,Clothing,2,25,50,22-02-2023
42,CUST042,Male,22,Clothing,3,300,900,17-02-2023
43,CUST043,Female,48,Clothing,1,300,300,14-07-2023
44,CUST044,Female,22,Clothing,1,25,25,19-02-2023
45,CUST045,Female,55,Electronics,1,30,30,03-07-2023
46,CUST046,Female,20,Electronics,4,300,1200,26-06-2023
47,CUST047,Female,40,Beauty,3,500,1500,06-11-2023
48,CUST048,Male,54,Electronics,3,300,900,16-05-2023
49,CUST049,Female,54,Electronics,2,500,1000,23-01-2023
50,CUST050,Female,27,Beauty,3,25,75,24-08-2023
51,CUST051,Male,27,Beauty,3,25,75,02-10-2023
52,CUST052,Female,36,Beauty,1,300,300,05-03-2023
53,CUST053,Male,34,Electronics,2,50,100,13-07-2023
54,CUST054,Female,38,Electronics,3,500,1500,10-02-2023
55,CUST055,Male,31,Beauty,4,30,120,10-10-2023
56,CUST056,Female,26,Clothing,3,300,900,31-05-2023
57,CUST057,Female,63,Beauty,1,30,30,18-11-2023
58,CUST058,Male,18,Clothing,4,300,1200,13-11-2023
59,CUST059,Male,62,Clothing,1,50,50,05-07-2023
60,CUST060,Male,30,Beauty,3,50,150,23-10-2023
61,CUST061,Male,21,Beauty,4,50,200,09-04-2023
62,CUST062,Male,18,Beauty,2,50,100,27-12-2023
63,CUST063,Male,57,Electronics,2,25,50,05-02-2023
64,CUST064,Male,49,Clothing,4,25,100,24-01-2023
65,CUST065,Male,51,Electronics,4,500,2000,05-12-2023
66,CUST066,Female,45,Electronics,1,30,30,27-04-2023
67,CUST067,Female,48,Beauty,4,300,1200,29-05-2023
68,CUST068,Male,25,Electronics,1,300,300,10-02-2023
69,CUST069,Female,56,Beauty,3,25,75,30-04-2023
70,CUST070,Female,43,Clothing,1,300,300,21-02-2023
71,CUST071,Female,51,Beauty,4,25,100,14-07-2023
72,CUST072,Female,20,Electronics,4,500,2000,23-05-2023
73,CUST073,Male,29,Electronics,3,30,90,21-08-2023
74,CUST074,Female,18,Beauty,4,500,2000,22-11-2023
75,CUST075,Male,61,Beauty,4,50,200,06-07-2023
76,CUST076,Female,22,Electronics,2,50,100,25-03-2023
77,CUST077,Female,47,Clothing,2,50,100,09-07-2023
78,CUST078,Female,47,Clothing,3,500,1500,01-07-2023
79,CUST079,Male,34,Beauty,1,300,300,18-04-2023
80,CUST080,Female,64,Clothing,2,30,60,10-12-2023
81,CUST081,Male,40,Electronics,1,50,50,17-05-2023
82,CUST082,Female,32,Beauty,4,50,200,26-12-2023
83,CUST083,Male,54,Electronics,2,50,100,16-12-2023
84,CUST084,Female,38,Electronics,3,30,90,28-11-2023
85,CUST085,Male,31,Clothing,3,50,150,06-02-2023
86,CUST086,Male,19,Beauty,3,30,90,08-11-2023
87,CUST087,Female,28,Beauty,2,50,100,22-11-2023
88,CUST088,Male,56,Clothing,1,500,500,29-03-2023
89,CUST089,Female,55,Electronics,4,500,2000,01-10-2023
90,CUST090,Female,51,Electronics,1,30,30,06-05-2023
91,CUST091,Female,55,Electronics,1,500,500,25-03-2023
92,CUST092,Female,51,Electronics,4,30,120,25-08-2023
93,CUST093,Female,35,Beauty,4,500,2000,14-07-2023
94,CUST094,Female,47,Beauty,2,500,1000,19-05-2023
95,CUST095,Female,32,Clothing,2,30,60,24-11-2023
96,CUST096,Female,44,Clothing,2,300,600,19-12-2023
97,CUST097,Female,51,Beauty,2,500,1000,13-10-2023
98,CUST098,Female,55,Beauty,2,50,100,23-04-2023
99,CUST099,Female,50,Electronics,4,300,1200,17-12-2023
100,CUST100,Male,41,Electronics,1,30,30,16-06-2023
101,CUST101,Male,32,Clothing,2,300,600,29-01-2023
102,CUST102,Female,47,Beauty,2,25,50,28-04-2023
103,CUST103,Female,59,Clothing,1,25,25,17-01-2023
104,CUST104,Female,34,Beauty,2,500,1000,11-06-2023
105,CUST105,Female,22,Electronics,1,500,500,25-07-2023
106,CUST106,Female,46,Clothing,1,50,50,18-05-2023
107,CUST107,Female,21,Clothing,4,300,1200,03-02-2023
108,CUST108,Female,27,Beauty,3,25,75,19-04-2023
109,CUST109,Female,34,Electronics,4,500,2000,18-10-2023
110,CUST110,Male,27,Clothing,3,300,900,11-06-2023
111,CUST111,Female,34,Electronics,3,500,1500,19-04-2023
112,CUST112,Male,37,Clothing,3,500,1500,02-12-2023
113,CUST113,Female,41,Electronics,2,25,50,13-09-2023
114,CUST114,Female,22,Beauty,4,25,100,22-07-2023
115,CUST115,Male,51,Clothing,3,500,1500,26-11-2023
116,CUST116,Female,23,Clothing,1,30,30,23-08-2023
117,CUST117,Male,19,Electronics,2,500,1000,15-03-2023
118,CUST118,Female,30,Electronics,4,500,2000,16-05-2023
119,CUST119,Female,60,Clothing,3,50,150,13-03-2023
120,CUST120,Male,60,Beauty,1,50,50,07-05-2023
121,CUST121,Female,28,Electronics,4,50,200,15-10-2023
122,CUST122,Male,64,Electronics,4,30,120,03-10-2023
123,CUST123,Female,40,Electronics,2,30,60,15-05-2023
124,CUST124,Male,33,Clothing,4,500,2000,27-10-2023
125,CUST125,Male,48,Clothing,2,50,100,08-08-2023
126,CUST126,Female,28,Clothing,3,30,90,26-10-2023
127,CUST127,Female,33,Clothing,2,25,50,24-07-2023
128,CUST128,Male,25,Beauty,1,500,500,05-07-2023
129,CUST129,Female,21,Beauty,2,300,600,23-04-2023
130,CUST130,Female,57,Clothing,1,500,500,12-03-2023
131,CUST131,Female,21,Beauty,2,300,600,18-09-2023
132,CUST132,Male,42,Electronics,4,50,200,10-09-2023
133,CUST133,Male,20,Electronics,3,300,900,16-02-2023
134,CUST134,Male,49,Electronics,1,50,50,25-01-2023
135,CUST135,Male,20,Clothing,2,25,50,26-02-2023
136,CUST136,Male,44,Electronics,2,300,600,20-03-2023
137,CUST137,Male,46,Beauty,2,500,1000,18-11-2023
138,CUST138,Male,49,Clothing,4,50,200,23-03-2023
139,CUST139,Male,36,Beauty,4,500,2000,15-12-2023
140,CUST140,Male,38,Electronics,1,30,30,05-08-2023
141,CUST141,Female,22,Electronics,1,50,50,02-11-2023
142,CUST142,Male,35,Electronics,4,300,1200,02-02-2023
143,CUST143,Female,45,Clothing,1,50,50,17-07-2023
144,CUST144,Female,59,Beauty,3,500,1500,15-07-2023
145,CUST145,Female,39,Clothing,3,25,75,02-11-2023
146,CUST146,Male,38,Clothing,4,50,200,28-08-2023
147,CUST147,Male,23,Electronics,1,300,300,28-09-2023
148,CUST148,Male,18,Clothing,2,30,60,09-05-2023
149,CUST149,Male,22,Clothing,3,25,75,11-10-2023
150,CUST150,Female,58,Electronics,4,30,120,06-01-2023
151,CUST151,Male,29,Clothing,1,50,50,15-12-2023
152,CUST152,Male,43,Electronics,4,500,2000,28-02-2023
153,CUST153,Male,63,Electronics,2,500,1000,16-12-2023
154,CUST154,Male,51,Electronics,3,300,900,02-10-2023
155,CUST155,Male,31,Electronics,4,500,2000,17-05-2023
156,CUST156,Female,43,Clothing,4,25,100,25-11-2023
157,CUST157,Male,62,Electronics,4,500,2000,24-06-2023
158,CUST158,Female,44,Electronics,2,300,600,27-02-2023
159,CUST159,Male,26,Clothing,4,50,200,31-05-2023
160,CUST160,Female,43,Clothing,2,50,100,11-08-2023
161,CUST161,Male,64,Beauty,2,500,1000,22-03-2023
162,CUST162,Male,39,Clothing,2,30,60,21-08-2023
163,CUST163,Female,64,Clothing,3,50,150,02-01-2023
164,CUST164,Female,47,Beauty,3,500,1500,15-05-2023
165,CUST165,Female,60,Clothing,4,300,1200,14-09-2023
166,CUST166,Male,34,Clothing,4,500,2000,02-04-2023
167,CUST167,Female,43,Clothing,3,50,150,17-09-2023
168,CUST168,Male,53,Clothing,1,300,300,24-02-2023
169,CUST169,Male,18,Beauty,3,500,1500,17-11-2023
170,CUST170,Female,25,Clothing,2,25,50,02-06-2023
171,CUST171,Female,52,Clothing,3,300,900,24-11-2023
172,CUST172,Male,32,Beauty,2,25,50,17-09-2023
173,CUST173,Male,64,Electronics,4,30,120,08-11-2023
174,CUST174,Female,39,Beauty,1,300,300,12-04-2023
175,CUST175,Female,31,Electronics,4,25,100,20-03-2023
176,CUST176,Female,43,Beauty,2,50,100,11-07-2023
177,CUST177,Male,45,Beauty,2,50,100,24-03-2023
178,CUST178,Male,40,Clothing,2,30,60,04-10-2023
179,CUST179,Male,31,Electronics,1,300,300,29-09-2023
180,CUST180,Male,41,Clothing,3,300,900,01-01-2023
181,CUST181,Male,19,Electronics,4,300,1200,03-11-2023
182,CUST182,Male,62,Beauty,4,30,120,15-06-2023
183,CUST183,Female,43,Beauty,3,300,900,08-09-2023
184,CUST184,Male,31,Electronics,4,50,200,10-01-2023
185,CUST185,Male,24,Clothing,1,25,25,27-02-2023
186,CUST186,Male,20,Clothing,4,50,200,05-07-2023
187,CUST187,Female,64,Clothing,2,50,100,07-06-2023
188,CUST188,Male,40,Clothing,3,25,75,03-05-2023
189,CUST189,Male,63,Beauty,1,50,50,30-01-2023
190,CUST190,Female,60,Beauty,3,30,90,04-05-2023
191,CUST191,Male,64,Beauty,1,25,25,18-10-2023
192,CUST192,Male,62,Beauty,2,50,100,10-02-2023
193,CUST193,Male,35,Beauty,3,500,1500,13-02-2023
194,CUST194,Male,55,Clothing,4,50,200,06-09-2023
195,CUST195,Male,52,Clothing,1,30,30,05-02-2023
196,CUST196,Female,32,Clothing,3,300,900,30-09-2023
197,CUST197,Female,42,Clothing,4,50,200,06-03-2023
198,CUST198,Female,54,Beauty,3,300,900,07-03-2023
199,CUST199,Male,45,Beauty,3,500,1500,04-12-2023
200,CUST200,Male,27,Beauty,3,50,150,01-09-2023
201,CUST201,Male,56,Electronics,1,25,25,09-10-2023
202,CUST202,Female,34,Clothing,4,300,1200,26-03-2023
203,CUST203,Male,56,Clothing,2,500,1000,16-05-2023
204,CUST204,Male,39,Beauty,1,25,25,28-09-2023
205,CUST205,Female,43,Clothing,1,25,25,07-11-2023
206,CUST206,Male,61,Clothing,1,25,25,05-08-2023
207,CUST207,Female,42,Beauty,2,25,50,19-04-2023
208,CUST208,Female,34,Electronics,4,50,200,04-10-2023
209,CUST209,Female,30,Electronics,4,50,200,20-12-2023
210,CUST210,Male,37,Electronics,4,50,200,13-04-2023
211,CUST211,Male,42,Beauty,3,500,1500,01-01-2024
212,CUST212,Male,21,Clothing,3,500,1500,09-06-2023
213,CUST213,Male,27,Beauty,3,500,1500,24-07-2023
214,CUST214,Male,20,Beauty,2,30,60,10-12-2023
215,CUST215,Male,58,Clothing,3,500,1500,29-11-2023
216,CUST216,Male,62,Electronics,2,50,100,11-07-2023
217,CUST217,Female,35,Electronics,4,50,200,13-08-2023
218,CUST218,Male,64,Beauty,3,30,90,22-09-2023
219,CUST219,Female,53,Electronics,3,30,90,20-08-2023
220,CUST220,Male,64,Beauty,1,500,500,03-03-2023
221,CUST221,Male,39,Beauty,2,300,600,07-05-2023
222,CUST222,Male,51,Clothing,4,30,120,26-04-2023
223,CUST223,Female,64,Clothing,1,25,25,02-02-2023
224,CUST224,Female,25,Clothing,1,50,50,23-06-2023
225,CUST225,Female,57,Beauty,4,25,100,11-01-2023
226,CUST226,Female,61,Clothing,1,50,50,29-10-2023
227,CUST227,Male,36,Electronics,2,50,100,11-10-2023
228,CUST228,Female,59,Electronics,2,30,60,28-04-2023
229,CUST229,Male,58,Beauty,3,30,90,29-10-2023
230,CUST230,Male,54,Beauty,1,25,25,23-04-2023
231,CUST231,Female,23,Clothing,3,50,150,04-01-2023
232,CUST232,Female,43,Beauty,1,25,25,06-02-2023
233,CUST233,Female,51,Beauty,2,300,600,29-12-2023
234,CUST234,Female,62,Electronics,2,25,50,20-11-2023
235,CUST235,Female,23,Electronics,2,500,1000,31-01-2023
236,CUST236,Female,54,Clothing,1,25,25,28-04-2023
237,CUST237,Female,50,Beauty,2,500,1000,04-02-2023
238,CUST238,Female,39,Beauty,1,500,500,17-01-2023
239,CUST239,Male,38,Electronics,3,500,1500,19-06-2023
240,CUST240,Female,23,Beauty,1,300,300,06-02-2023
241,CUST241,Female,23,Electronics,3,25,75,21-09-2023
242,CUST242,Male,21,Clothing,1,25,25,02-05-2023
243,CUST243,Female,47,Electronics,3,300,900,23-05-2023
244,CUST244,Male,28,Beauty,2,50,100,09-12-2023
245,CUST245,Male,47,Clothing,3,30,90,06-09-2023
246,CUST246,Female,48,Electronics,2,25,50,20-04-2023
247,CUST247,Male,41,Electronics,2,30,60,04-10-2023
248,CUST248,Male,26,Clothing,3,300,900,09-03-2023
249,CUST249,Male,20,Clothing,1,50,50,20-10-2023
250,CUST250,Male,48,Electronics,1,50,50,23-10-2023
251,CUST251,Female,57,Beauty,4,50,200,31-08-2023
252,CUST252,Male,54,Electronics,1,300,300,05-05-2023
253,CUST253,Female,53,Clothing,4,500,2000,31-08-2023
254,CUST254,Male,41,Electronics,1,500,500,28-07-2023
255,CUST255,Male,48,Clothing,1,30,30,08-04-2023
256,CUST256,Male,23,Clothing,2,500,1000,18-02-2023
257,CUST257,Male,19,Beauty,4,500,2000,19-02-2023
258,CUST258,Female,37,Clothing,1,50,50,04-12-2023
259,CUST259,Female,45,Clothing,4,50,200,09-08-2023
260,CUST260,Male,28,Beauty,2,30,60,01-07-2023
261,CUST261,Male,21,Clothing,2,25,50,05-08-2023
262,CUST262,Female,32,Beauty,4,30,120,30-07-2023
263,CUST263,Male,23,Beauty,2,30,60,28-08-2023
264,CUST264,Male,47,Clothing,3,300,900,28-01-2023
265,CUST265,Male,55,Clothing,3,300,900,11-12-2023
266,CUST266,Female,19,Electronics,2,30,60,01-12-2023
267,CUST267,Female,32,Beauty,3,30,90,27-11-2023
268,CUST268,Female,28,Electronics,1,30,30,20-02-2023
269,CUST269,Male,25,Clothing,4,500,2000,01-02-2023
270,CUST270,Male,43,Electronics,1,300,300,26-07-2023
271,CUST271,Female,62,Beauty,4,30,120,23-06-2023
272,CUST272,Female,61,Electronics,2,50,100,25-02-2023
273,CUST273,Female,22,Beauty,1,50,50,08-05-2023
274,CUST274,Female,23,Clothing,2,500,1000,09-04-2023
275,CUST275,Male,43,Clothing,2,500,1000,08-04-2023
276,CUST276,Female,21,Beauty,4,25,100,02-10-2023
277,CUST277,Male,36,Clothing,4,25,100,18-08-2023
278,CUST278,Female,37,Clothing,4,25,100,13-03-2023
279,CUST279,Male,50,Clothing,1,500,500,05-08-2023
280,CUST280,Female,37,Clothing,3,500,1500,04-04-2023
281,CUST281,Female,29,Beauty,4,500,2000,23-05-2023
282,CUST282,Female,64,Electronics,4,50,200,25-08-2023
283,CUST283,Female,18,Electronics,1,500,500,08-05-2023
284,CUST284,Male,43,Clothing,4,50,200,08-02-2023
285,CUST285,Female,31,Electronics,1,25,25,15-08-2023
286,CUST286,Male,55,Electronics,2,25,50,09-10-2023
287,CUST287,Male,54,Clothing,4,25,100,20-02-2023
288,CUST288,Male,28,Clothing,4,30,120,26-01-2023
289,CUST289,Male,53,Electronics,2,30,60,30-11-2023
290,CUST290,Female,30,Beauty,2,300,600,04-10-2023
291,CUST291,Male,60,Clothing,2,300,600,08-01-2023
292,CUST292,Male,20,Beauty,4,300,1200,17-02-2023
293,CUST293,Male,50,Electronics,3,30,90,02-05-2023
294,CUST294,Female,23,Clothing,3,30,90,27-03-2023
295,CUST295,Female,27,Beauty,3,300,900,28-07-2023
296,CUST296,Female,22,Clothing,4,300,1200,06-09-2023
297,CUST297,Female,40,Electronics,2,500,1000,04-09-2023
298,CUST298,Male,27,Beauty,4,300,1200,20-04-2023
299,CUST299,Male,61,Electronics,2,500,1000,25-07-2023
300,CUST300,Female,19,Electronics,4,50,200,31-01-2023
301,CUST301,Male,30,Clothing,4,30,120,26-03-2023
302,CUST302,Male,57,Beauty,2,300,600,14-07-2023
303,CUST303,Male,19,Electronics,3,30,90,02-01-2023
304,CUST304,Female,37,Electronics,2,30,60,19-07-2023
305,CUST305,Female,18,Beauty,1,30,30,16-05-2023
306,CUST306,Male,54,Electronics,1,50,50,21-08-2023
307,CUST307,Female,26,Electronics,2,25,50,27-05-2023
308,CUST308,Female,34,Beauty,4,300,1200,05-08-2023
309,CUST309,Female,26,Beauty,1,25,25,23-12-2023
310,CUST310,Female,28,Beauty,1,25,25,12-10-2023
311,CUST311,Female,32,Beauty,4,25,100,05-12-2023
312,CUST312,Male,41,Clothing,4,30,120,07-09-2023
313,CUST313,Female,55,Beauty,3,500,1500,21-03-2023
314,CUST314,Male,52,Clothing,4,30,120,08-04-2023
315,CUST315,Male,47,Clothing,2,30,60,01-06-2023
316,CUST316,Female,48,Clothing,2,25,50,22-04-2023
317,CUST317,Male,22,Electronics,3,30,90,30-01-2023
318,CUST318,Male,61,Clothing,1,25,25,24-10-2023
319,CUST319,Male,31,Clothing,1,500,500,05-10-2023
320,CUST320,Female,28,Electronics,4,300,1200,01-02-2023
321,CUST321,Female,26,Electronics,2,25,50,10-06-2023
322,CUST322,Male,51,Electronics,1,500,500,30-01-2023
323,CUST323,Female,29,Beauty,3,300,900,26-01-2023
324,CUST324,Female,52,Electronics,3,50,150,27-10-2023
325,CUST325,Female,52,Electronics,2,25,50,02-09-2023
326,CUST326,Female,18,Clothing,3,25,75,15-09-2023
327,CUST327,Male,57,Electronics,3,50,150,29-09-2023
328,CUST328,Male,39,Beauty,2,50,100,22-03-2023
329,CUST329,Female,46,Electronics,4,25,100,30-01-2023
330,CUST330,Female,25,Beauty,4,50,200,18-09-2023
331,CUST331,Male,28,Electronics,3,30,90,11-02-2023
332,CUST332,Male,58,Electronics,4,300,1200,06-04-2023
333,CUST333,Female,54,Electronics,4,300,1200,05-02-2023
